Latitude,Longitude,Hazard_Prob,GLOF
42.522,74.609,0.7452902950558787,1
42.207,79.846,0.9998541717992295,1
35.677,77.193,0.972381581020957,1
29.307,83.967,0.010516501965832736,1
36.039,74.633,0.805571928405508,1
41.975,76.867,0.7529953454333465,1
27.874,86.586,0.8230549021543007,1
42.207,79.846,0.999131332908985,1
36.414,74.879,0.8211305185437175,1
27.586,88.027,0.11364974033828984,1
42.923,76.602,0.8935525508223583,1
42.207,79.846,0.9997785040988355,1
35.677,77.193,0.9770834892865436,1
42.207,79.846,0.9991051288940511,1
35.677,77.193,0.9665015411301559,1
42.207,79.846,0.9991927824199326,1
31.295,78.332,0.3077389227908724,1
42.522,74.609,0.9925664586473167,1
42.505,74.505,0.9229023708367663,1
29.288,83.868,0.3562143844744597,1
38.632,72.146,0.9992433709137466,1
42.537,74.431,0.9135623523753555,1
42.923,76.602,0.9573769192570515,1
29.466,96.501,0.8926518514884965,1
29.554,92.785,0.04467475535204382,1
42.207,79.846,0.99991270259659,1
42.207,79.846,0.9996107807748091,1
42.207,79.846,0.9998971412531797,1
36.75,74.01,0.9999743906107539,1
35.496,76.27,0.9998451784932101,1
35.253,77.311,0.9997041731455452,1
43.171,77.295,0.4032316680282867,1
42.207,79.846,0.9995373297082008,1
27.965,88.895,0.2825191226205883,1
28.087,90.326,0.5901851877606334,1
27.877,86.461,0.23768606166970052,1
42.207,79.846,0.9990053207395337,1
35.93,74.609,0.22066919808758204,1
36.043,74.571,0.9525605403791476,1
42.923,76.602,0.8336247051292636,1
42.207,79.846,0.9984842638605563,1
29.748,96.538,0.999090428940222,1
27.929,86.447,0.020141474721220735,1
27.557,88.111,0.702584273152698,1
42.528,74.54,0.9490297698111627,1
42.537,74.431,0.9398322486460658,1
36.84,73.92,0.9999035741781547,1
35.496,76.27,0.9999476998995204,1
42.522,74.609,0.7107941733685944,1
35.253,77.311,0.9998046872167916,1
43.146,77.271,0.8523116833926007,1
36.033,73.197,0.797408860476587,1
42.207,79.846,0.9998664674093467,1
30.356,82.118,0.4451948639024994,1
36.62,74.07,0.9998819946176546,1
36.027,73.196,0.7792130699418784,1
